Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,-135.7102,-44.7998,90,bottom
C2,0.1uF,C_0805_2012Metric,-28.647,-17.5585,0,bottom
C4,0.1uF,C_0805_2012Metric,-68.652,-19.654,350,bottom
C6,0.1uF,C_0805_2012Metric,-106.0535,-26.258,350,bottom
C8,0.1uF,C_0805_2012Metric,-160.7143,-27.95218,10,bottom
C9,0.1uF,C_0805_2012Metric,-139.7742,-62.6814,270,bottom
C10,0.1uF,C_0805_2012Metric,-198.25296,-21.32786,10,bottom
C11,0.1uF,C_0805_2012Metric,-145.413,-50.9974,0,bottom
C12,0.1uF,C_0805_2012Metric,-237.86426,-17.53818,0,bottom
C13,0.1uF,C_0805_2012Metric,-126.9726,-57.2966,180,bottom
C15,0.1uF,C_0805_2012Metric,-285.695,-17.495,0,bottom
C16,10uF,C_0805_2012Metric,-130.4778,-44.7998,90,bottom
C18,0.1uF,C_0805_2012Metric,-33.331,-36.545,0,bottom
C20,0.1uF,C_0805_2012Metric,-74.5575,-40.0375,350,bottom
C22,0.1uF,C_0805_2012Metric,-112.086,-46.6415,350,bottom
C24,0.1uF,C_0805_2012Metric,-173.60226,-45.02098,10,bottom
C26,0.1uF,C_0805_2012Metric,-211.05964,-38.41698,10,bottom
C28,0.1uF,C_0805_2012Metric,-252.31686,-36.58564,0,bottom
C30,0.1uF,C_0805_2012Metric,-295.57052,-36.76344,0,bottom
C34,0.1uF,C_0805_2012Metric,-36.2035,-55.595,0,bottom
C36,0.1uF,C_0805_2012Metric,-76.145,-59.659,350,bottom
C38,0.1uF,C_0805_2012Metric,-113.6735,-66.263,350,bottom
C40,0.1uF,C_0805_2012Metric,-181.52706,-62.97624,10,bottom
C42,0.1uF,C_0805_2012Metric,-219.00984,-56.34684,10,bottom
C44,0.1uF,C_0805_2012Metric,-259.09358,-55.63818,0,bottom
C45,0.1uF,C_0805_2012Metric,-289.99522,-55.63056,0,bottom
C48,0.1uF,C_0805_2012Metric,-42.8075,-74.68564,0,bottom
C50,0.1uF,C_0805_2012Metric,-82.3045,-80.106,350,bottom
C52,0.1uF,C_0805_2012Metric,-114.4355,-85.821,350,bottom
C54,0.1uF,C_0805_2012Metric,-175.38788,-83.39784,10,bottom
C56,0.1uF,C_0805_2012Metric,-212.9494,-76.77606,10,bottom
C58,0.1uF,C_0805_2012Metric,-252.4972,-74.6831,0,bottom
C60,0.1uF,C_0805_2012Metric,-309.51512,-79.44306,0,bottom
C63,0.1uF,C_0805_2012Metric,-26.0435,-93.695,0,bottom
C66,0.1uF,C_0805_2012Metric,-176.34292,-102.56976,10,bottom
C67,0.1uF,C_0805_2012Metric,-209.16226,-96.79126,10,bottom
C69,0.1uF,C_0805_2012Metric,-264.27518,-93.7585,0,bottom
C71,0.1uF,C_0805_2012Metric,-309.49734,-98.54894,0,bottom
C72,0.1uF,C_0805_2012Metric,-328.62862,-98.56672,0,bottom
C73,0.1uF,C_0805_2012Metric,-340.0298,-6.5786,180,bottom
C74,0.1uF,C_0805_2012Metric,-333.7814,-74.9554,180,bottom
C75,0.1uF,C_0805_2012Metric,-278.13508,-83.57616,0,bottom
C76,0.1uF,C_0805_2012Metric,-225.0186,-84.2264,180,bottom
C77,0.1uF,C_0805_2012Metric,-138.7856,-109.9947,0,bottom
C78,0.1uF,C_0805_2012Metric,-46.9773,-85.217,180,bottom
C79,0.1uF,C_0805_2012Metric,5.2832,-7.9756,180,bottom
F1,500mA,Fuse_1206_3216Metric,-141.7125,-5.592,0,bottom
R1,10kΩ,R_0805_2012Metric,-145.4,-49,180,bottom
R2,5.1kΩ,R_0805_2012Metric,-135.299,-4.957,0,bottom
R3,5.1kΩ,R_0805_2012Metric,-147.999,-4.957,180,bottom
R4,22Ω,R_0805_2012Metric,-135.1934,-40.7231,90,bottom
R5,22Ω,R_0805_2012Metric,-133.2122,-40.7231,90,bottom
R6,10kΩ,R_0805_2012Metric,-131.5954,-62.4274,90,bottom
R7,510Ω,R_0805_2012Metric,-305.94896,-9.52194,90,bottom
SW1,RESET,SKQG-1155865,-141.29092,-78.02574,190,bottom
U1,ATmega32U4-AU,ATMEGA32U4-AU,-136.2182,-53.6136,270,bottom
U2,SRV05-4,SOT-23-6,-141.649,-8.6908,0,bottom
Y1,16MHz,Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering_Compact,-146.9094,-53.88304,90,bottom
