Comment,Designator,Footprint,LCSC, LCSC Part#, Mrf, Part#, Mfr
"1uF","C1","Capacitor_SMD:C_0805_2012Metric","","C28323","","CL21B105KBFNNNE","Samsung Electro-Mechanics"
"10uF","C16","Capacitor_SMD:C_0805_2012Metric","","C15850","","CL21A106KAYNNNE","Samsung Electro-Mechanics"
"0.1uF","C9,C11,C13,C2,C18,C34,C48,C63,C4,C20,C36,C50,C6,C22,C38,C52,C8,C24,C40,C54,C66,C10,C26,C42,C56,C67,C12,C28,C44,C58,C69,C15,C30,C45,C60,C71,C72,C73,C74,C75,C76,C77,C78,C79","Capacitor_SMD:C_0805_2012Metric","","C49678","YAGEO","CC0805KRX7R9BB104",""
"D","D_1,D_17,D_33,D_47,D_62,D_2,D_18,D_34,D_48,D_63,D_3,D_19,D_35,D_49,D_64,D_4,D_20,D_36,D_50,D_5,D_21,D_37,D_51,D_65,D_6,D_22,D_38,D_52,D_7,D_23,D_39,D_53,D_8,D_24,D_40,D_54,D_66,D_9,D_25,D_41,D_55,D_10,D_26,D_42,D_56,D_67,D_11,D_27,D_43,D_57,D_68,D_12,D_28,D_44,D_58,D_69,D_29,D_59,D_70,D_15,D_30,D_45,D_60,D_71,D_16,D_31,D_46,D_61,D_72,D_13","kbd:D3_SMD_v2","","C81598","Semtech","1N4148W",""
"500mA","F1","Fuse:Fuse_1206_3216Metric","","C70068","","nSMD025","TECHFUSE"
"USB2_C_Receptacle","J1","usb-type-c:Mid_Mount-USB_C_HandSoldering",""
"ISP Header","J2","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"KEYSW","K_1,K_2,K_18,K_34,K_48,K_3,K_19,K_35,K_49,K_4,K_20,K_36,K_50,K_5,K_21,K_37,K_51,K_6,K_22,K_38,K_52,K_7,K_23,K_39,K_53,K_8,K_24,K_40,K_54,K_9,K_25,K_41,K_55,K_10,K_26,K_42,K_56,K_11,K_27,K_43,K_57,K_12,K_28,K_44,K_58,K_13,K_29,K_70,K_14,K_30,K_60,K_71,K_16,K_31,K_46,K_61,K_72","MX_Only:MXOnly-1U-NoLED",""
"KEYSW","K_15","MX_Only:MXOnly-2U-ReversedStabilizers-NoLED",""
"KEYSW","K_17","MX_Only:MXOnly-1.5U-NoLED",""
"KEYSW","K_32,K_33,K_59","MX_Only:MXOnly-1.75U-NoLED",""
"KEYSW","K_47,K_66,K_45","MX_Only:MXOnly-2.25U-ReversedStabilizers-NoLED",""
"KEYSW","K_62,K_63,K_64,K_67,K_68,K_69","MX_Only:MXOnly-1.25U-NoLED",""
"KEYSW","K_65","MX_Only:MXOnly-2.75U-ReversedStabilizers-NoLED",""
"YS-SK6812MINI-E","LED1,LED17,LED33,LED47,LED62,LED2,LED18,LED34,LED48,LED63,LED3,LED19,LED35,LED49,LED64,LED4,LED20,LED36,LED50,LED5,LED21,LED37,LED51,LED65,LED6,LED22,LED38,LED52,LED7,LED23,LED39,LED53,LED8,LED24,LED40,LED54,LED66,LED9,LED25,LED41,LED55,LED10,LED26,LED42,LED56,LED67,LED11,LED27,LED43,LED57,LED68,LED12,LED28,LED44,LED58,LED69,LED13,LED29,LED59,LED70,LED30,LED45,LED60,LED71,LED72,LED15","LED_kicad_footprints-master:YS-SK6812MINI-E",""
"10kΩ","R1,R6","Resistor_SMD:R_0805_2012Metric","","C17414","Uniroyal Elec","0805W8F1002T5E",""
"5.1kΩ","R2,R3","Resistor_SMD:R_0805_2012Metric","","C27834","","0805W8F5101T5E","Uniroyal Elec"
"22Ω","R5,R4","Resistor_SMD:R_0805_2012Metric","","C17561","Uniroyal Elec","0805W8F220JT5E",""
"510Ω","R7","Resistor_SMD:R_0805_2012Metric","","C17734","Uniroyal Elec","0805W8F5100T5E",""
"RESET","SW1","random-keyboard-parts:SKQG-1155865",""
"Rotary_Encoder_Switch","SW3,SW4,SW2","Keebio-Parts:RotaryEncoder_EC11",""
"ATmega32U4-AU","U1","Keebio-Parts:ATMEGA32U4-AU","","C44854","","ATMEGA32U4-AU","Microchip Tech"
"SRV05-4","U2","Package_TO_SOT_SMD:SOT-23-6","","C127538","","SRV05-4","Yenji Elec"
"YS-SK6812MINI-E","ULED13,ULED12,ULED11,ULED10,ULED1,ULED2,ULED3,ULED4,ULED5,ULED9,ULED8,ULED6,ULED7,ULED14","LED_SMD:LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm",""
"16MHz","Y1","proj_local:Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering_Compact",""
