Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,-148.27304,-50.35224,90,bottom
C2,0.1uF,C_0805_2012Metric,-43.8658,-23.0124,0,bottom
C4,0.1uF,C_0805_2012Metric,-81.3181,-24.6126,348,bottom
C6,0.1uF,C_0805_2012Metric,-118.49608,-32.4866,348,bottom
C8,0.1uF,C_0805_2012Metric,-173.72838,-34.49574,12,bottom
C9,0.1uF,C_0805_2012Metric,-152.33704,-68.23384,270,bottom
C10,0.1uF,C_0805_2012Metric,-210.90636,-26.60142,12,bottom
C11,0.1uF,C_0805_2012Metric,-157.97584,-56.54984,0,bottom
C12,0.1uF,C_0805_2012Metric,-248.36628,-20.81022,0,bottom
C13,0.1uF,C_0805_2012Metric,-139.53544,-62.84904,180,bottom
C15,0.1uF,C_0805_2012Metric,-295.66108,-22.92604,0,bottom
C16,10uF,C_0805_2012Metric,-143.04064,-50.35224,90,bottom
C18,0.1uF,C_0805_2012Metric,-49.3014,-42.01668,0,bottom
C20,0.1uF,C_0805_2012Metric,-86.6267,-45.1993,348,bottom
C22,0.1uF,C_0805_2012Metric,-123.9139,-53.10124,348,bottom
C24,0.1uF,C_0805_2012Metric,-187.0583,-51.1683,12,bottom
C26,0.1uF,C_0805_2012Metric,-224.3201,-43.1927,12,bottom
C28,0.1uF,C_0805_2012Metric,-261.6835,-42.037,0,bottom
C30,0.1uF,C_0805_2012Metric,-304.6222,-42.09542,0,bottom
C34,0.1uF,C_0805_2012Metric,-49.8879,-61.07176,0,bottom
C36,0.1uF,C_0805_2012Metric,-87.33028,-64.83858,348,bottom
C38,0.1uF,C_0805_2012Metric,-124.625027,-72.751343,348,bottom
C40,0.1uF,C_0805_2012Metric,-195.59778,-68.82384,12,bottom
C42,0.1uF,C_0805_2012Metric,-231.57268,-61.89928,10,bottom
C44,0.1uF,C_0805_2012Metric,-271.65642,-61.19062,0,bottom
C45,0.1uF,C_0805_2012Metric,-301.47514,-61.05398,0,bottom
C48,0.1uF,C_0805_2012Metric,-55.37034,-80.23808,0,bottom
C50,0.1uF,C_0805_2012Metric,-92.7481,-85.45068,348,bottom
C52,0.1uF,C_0805_2012Metric,-126.2761,-92.6084,348,bottom
C54,0.1uF,C_0805_2012Metric,-190.2841,-89.408,12,bottom
C56,0.1uF,C_0805_2012Metric,-227.5205,-81.5086,12,bottom
C58,0.1uF,C_0805_2012Metric,-265.3157,-80.137,0,bottom
C60,0.1uF,C_0805_2012Metric,-322.07796,-84.9955,0,bottom
C63,0.1uF,C_0805_2012Metric,-38.60634,-99.24744,0,bottom
C66,0.1uF,C_0805_2012Metric,-192.0494,-108.5215,12,bottom
C67,0.1uF,C_0805_2012Metric,-224.87636,-101.56444,12,bottom
C69,0.1uF,C_0805_2012Metric,-276.83802,-99.31094,0,bottom
C71,0.1uF,C_0805_2012Metric,-322.06018,-104.10138,0,bottom
C72,0.1uF,C_0805_2012Metric,-341.19146,-104.11916,0,bottom
C73,0.1uF,C_0805_2012Metric,-352.59264,-12.13104,180,bottom
C74,0.1uF,C_0805_2012Metric,-346.34424,-80.50784,180,bottom
C75,0.1uF,C_0805_2012Metric,-290.69792,-89.1286,0,bottom
C76,0.1uF,C_0805_2012Metric,-237.58144,-89.77884,180,bottom
C77,0.1uF,C_0805_2012Metric,-151.34844,-115.54714,0,bottom
C78,0.1uF,C_0805_2012Metric,-59.54014,-90.76944,180,bottom
C79,0.1uF,C_0805_2012Metric,-7.27964,-13.52804,180,bottom
D_1,D,D3_SMD_v2,-32.6644,-18.6563,90,bottom
D_2,D,D3_SMD_v2,-51.8414,-17.6784,90,bottom
D_3,D,D3_SMD_v2,-70.7517,-17.7927,90,bottom
D_4,D,D3_SMD_v2,-90.26652,-22.26818,78,bottom
D_5,D,D3_SMD_v2,-108.82718,-26.00908,78,bottom
D_6,D,D3_SMD_v2,-127.56896,-29.95422,78,bottom
D_7,D,D3_SMD_v2,-146.37258,-33.2486,78,bottom
D_8,D,D3_SMD_v2,-180.59654,-27.54376,102,bottom
D_9,D,D3_SMD_v2,-199.38492,-24.37638,102,bottom
D_10,D,D3_SMD_v2,-218.20378,-20.9804,102,bottom
D_11,D,D3_SMD_v2,-236.85754,-16.87322,102,bottom
D_12,D,D3_SMD_v2,-256.34188,-17.20596,90,bottom
D_13,D,D3_SMD_v2,-275.2344,-18.79346,90,bottom
D_15,D,D3_SMD_v2,-314.91516,-18.8539,90,bottom
D_16,D,D3_SMD_v2,-316.64744,-18.84166,90,bottom
D_17,D,D3_SMD_v2,-33.31972,-37.49802,90,bottom
D_18,D,D3_SMD_v2,-57.4929,-36.86556,90,bottom
D_19,D,D3_SMD_v2,-76.91628,-39.21506,78,bottom
